id;start_date;end_date;language
1;2024-01-18T21:22:07;2024-01-18T05:38:04;SPANISH
2;2024-01-18T02:36:26;2024-01-18T12:45:25;ENGLISH
3;2024-01-18T20:45:23;2024-01-18T03:38:12;FRENCH
4;2024-01-18T11:00:49;2024-01-18T14:08:29;ENGLISH
5;2024-01-18T07:55:53;2024-01-18T17:22:20;SPANISH
6;2024-01-18T02:38:56;2024-01-18T10:28:49;SPANISH
7;2024-01-17T23:50:42;2024-01-18T05:18:10;FRENCH
8;2024-01-18T16:23:09;2024-01-18T15:58:31;ENGLISH
9;2024-01-18T06:39:45;2024-01-18T12:40:36;ENGLISH
10;2024-01-18T07:02:35;2024-01-18T02:27:12;ENGLISH
