id;street_address;postal_code;city;state_province
1;with;lovingly limply;Sacramento;astride although monsoon
2;pertinent;mid;East Frida;except
3;towards brighten gas;loftily defensive hospitable;Welchmouth;which
4;abaft vice nor;than hut;Laguna Niguel;gosh ATM
5;reproachfully happen;lionize;Port Eunice;predecease
6;under material huzzah;consequently boo;Norvalview;overhaul context when
7;gosh atop;blindly;South Nolahaven;phew
8;what hunter until;although schedule spotted;North Richland Hills;dob around
9;delightfully psst;times date bleakly;West Daisy;loudly
10;atop pfft;yahoo wherever frosty;West Furmanfield;supportive saint monthly
